Period,,2019,,2020,,2021,
,,Exports,Imports,Exports,Imports,Exports,Imports
,,,,,,,
January,Goods ,"131,228","191,745","133,738","193,706","129,292","192,242"
,Services,56883,"37,995","59,141","38,635","59,733","40,371"
,,,,,,,
February,Goods ,132084,"193,731","131,768","193,060","126,329","184,370"
,Services,"56,828","37,935","57,726","39,270","59,560","40,057"
,,,,,,,
March,Goods ,"130,093","186,326","135,923","198,973","127,183","198,347"
,Services,"56,647","37,938","58,837","38,908","59,583","40,581"
,,,,,,,
April,Goods ,"131,468","189,507","135,556","199,877","129,376","190,967"
,Services,"56,592","38,318","59,468","39,417","59,766","40,432"
